Usuario,Latitud,Longitud
Addy Kuhn,37.97155173,-2.909176896
Addy Troughton,38.04134424,-3.211002918
Ade Sugars,37.88049127,-3.224066492
Adela Edgeller,37.9354573,-3.654029561
Adelaida Denkin,37.76178883,-2.96631091
Adelaida Geffen,37.85341563,-2.994508362
Adelaida Tarver,37.98012651,-3.870755197
Adelaide Ferrand,37.78856,-3.77425
Adelaide Osmant,37.96835775,-3.093685295
Adelbert Aberkirder,37.95658715,-3.578722868
Adelbert Chopping,38.12430754,-3.176841263
Adele Cundict,38.05656765,-3.18053496
Adele Glanders,37.88061102,-2.856393153
Adele Ianni,38.1025493,-3.844734799
Adelheid Gerran,38.05637605,-2.784007583
Adelheid Itzkovsky,38.10063152,-3.380385424
Adelice Banasik,38.02402117,-3.213933795
Adelina Priter,38.13888831,-3.574531963
Adelle Grzeszczak,37.96935639,-3.355384028
Adelle Gyngell,38.06558676,-3.606458547
Adena Calderhead,37.77657263,-3.560795061
Adena Geerits,38.05690514,-2.749058539
Adham Vallentine,37.85550194,-3.63358677
Adi Kelf,38.14307987,-3.860643325
Adiana Judron,37.73711236,-2.814153364
Adiana Whall,38.09801412,-3.384414862
Adina Aleksandrikin,37.84314593,-3.559648618
Adlai Francey,37.78620238,-2.751886989
Adlai Glauber,37.86794352,-2.71354857
Adlai Heaviside,38.0870823,-3.542693042
Ado Weber,38.05085138,-3.436930296
Adolf Bowerman,38.01644524,-2.847903701
Adolphe Physic,37.92808988,-2.881924654
Adolpho Belson,38.06952055,-3.07851057
Adolpho Jochanany,38.00958491,-3.094190035
Adolpho McVitie,38.05656514,-3.353942309
Adolpho Ohms,37.89691522,-3.199698994
Adolpho Ornelas,37.77928091,-2.978156899
Adolpho Pothecary,38.10368953,-3.877158427
Adolpho Rubens,37.86943683,-2.986045539
Adolphus Bowering,38.0974621,-3.32699984
Adolphus Drugan,38.02053437,-3.673984639
Adolphus Edgeon,38.07346538,-3.108192638
Adora Locksley,37.78695,-3.77522
Adoree Heathcoat,37.78390512,-3.087812689
Adrea Gripton,37.9610012,-3.130157637
Adriaens Farlow,38.07754486,-3.247181781
Adriaens Pargiter,37.97521952,-3.815570155
Adrian Currington,38.00721188,-3.825262188
Adrian Elbourne,37.86591775,-3.135952607
Adrian Molen,37.79583043,-3.47140327
Adriane Marples,38.05740822,-3.342387075
Adriane Vasyukhin,37.78856,-3.77208
Adrianna Braden,38.09580229,-3.883874383
Adrianna Burnell,37.92236869,-3.80531928
Adrianna Sherston,37.86876979,-3.790181767
Adrianne Jacqueme,38.01560036,-3.232161879
Adrianne Lovart,38.04771249,-2.704573078
Adriena Insall,37.837422,-3.385841228
Adriena Wheatcroft,37.71468639,-3.014721855
Adrienne Kempston,38.09972128,-2.676593038
Ag Marcos,38.12504771,-2.734836958
Agata Gallen,38.12646909,-3.051801583
Agata Gilbank,37.79727451,-2.723788923
Agatha Jenton,37.80842034,-3.702118437
Agathe Romi,38.01447951,-3.490389085
Agathe Tamblingson,37.7907842,-3.384957974
Aggi Shropsheir,37.81267044,-3.723346311
Aggie Glancy,37.87114707,-3.275698842
Aggie Hoyle,38.13390371,-3.807843066
Aggie Sired,37.7211074,-2.981095339
Aggie Treadway,38.10037452,-2.824686928
Aggie Warne,37.84024049,-3.496643558
Aggy Ferrier,37.73720138,-3.851601535
Agna Giacaponi,37.98794938,-3.18685093
Agna Marchent,38.08542795,-2.740346522
Agnese Caddock,38.12995291,-3.387326229
Agnesse Gaye,37.9503655,-2.871269272
Agneta Wibrew,38.02231828,-3.298489415
Aguste De Few,37.96318155,-3.187738529
Aharon Questier,38.06756315,-3.127483472
Ahmed Cutajar,37.86373209,-3.184161026
Aida Mullender,38.09985652,-3.116536817
Aida Seefeldt,38.10732611,-2.810322017
Aigneis Booth-Jarvis,37.81652366,-3.536106742
Aigneis Gynne,37.72524854,-3.130171684
Ailbert Jimson,37.7526669,-2.869266732
Aile McEvon,37.95774338,-3.708745258
Ailee Jakubczyk,37.88162435,-2.995129953
Ailee Wych,38.09249496,-3.464635439
Aileen Treverton,37.97184025,-3.525283116
Ailina Pocklington,37.71656876,-3.155488693
Ailis Castle,37.93086111,-3.498061722
Ailis MacElroy,38.05943388,-2.956156265
Ailis Pacey,37.93064949,-2.894756516
Ailsun Challen,37.97532613,-3.017377476
Ailsun Christiensen,37.80181158,-3.786517539
Ailsun Eilles,37.73485537,-3.570963073
Aimee Merrin,38.13353811,-3.894215103
Aindrea Barneville,37.85462057,-3.23328706
Aindrea Foli,37.88080193,-2.809165078
Aindrea Wathey,37.88421053,-3.491808801
Ainslee Agus,37.72850233,-2.929645816
Akim Adderley,38.0729773,-2.832255289
Aksel Kordt,38.01240718,-3.109301246
Al Stell,37.94623032,-3.788129764
Alair Gibbeson,37.81823592,-2.708040753
Alair Norvell,37.78627601,-3.193422598
Alameda Southern,38.0650376,-3.116677465
Alan Scane,37.76771352,-3.672099277
Alana Mitchinson,37.70199741,-2.781219209
Alanah Altamirano,38.01225924,-3.461105781
Alanah Stroban,37.73035859,-3.183684648
Aland Cowdrey,37.89156202,-3.695566354
Alanna Koche,37.98228442,-3.798305599
Alanna Narducci,38.14807609,-3.418752331
Alard Sivorn,37.94745689,-3.456145194
Alaric Ducker,38.13195804,-2.988310789
Alasdair Hollidge,37.74353336,-3.381880179
Alasteir O'Keevan,38.08792779,-3.931416924
Alasteir Wolvey,37.7831307,-3.519969157
Alaster Martell,38.13559133,-3.416248833
Alaster Phetteplace,37.70373971,-3.6154539
Albertina Capin,37.79489731,-3.351031047
Albertina Swyer-Sexey,37.95990664,-2.83131538
Albertine Dalliwatr,37.7488281,-3.380780521
Albina Reichelt,38.14710229,-3.064970381
Albrecht Emson,37.92973181,-3.577034088
Alden Meir,37.88632231,-2.930765228
Aldis Fernyhough,37.79583527,-3.071343321
Aldis Yurenev,37.81822659,-2.747699304
Aldo Scutcheon,37.9430418,-2.959814029
Aldon Byrnes,37.78942,-3.7806
Aldon Sextone,37.71747994,-3.757097975
Aldous McCaffery,38.0161306,-3.072818262
Aldric Gumn,37.95118326,-3.336918137
Aldric Yitshak,37.72624408,-3.212730596
Aldridge Hillaby,37.81012678,-3.390356796
Aldridge Omar,37.83724235,-3.342589067
Aldridge Redwing,37.81230493,-2.886509374
Aldus Allon,37.79753967,-2.927553041
Alec Bastard,37.78854842,-3.771485161
Alec Josefson,37.85404855,-3.359843747
Alec Keller,37.70382552,-3.268053193
Alec Rolfini,37.81120238,-3.632046896
Aleda Draisey,37.88013529,-3.110406895
Aleda Dupre,37.93780613,-3.114939658
Aleece Dureden,37.97423491,-3.198281791
Aleen Hyam,37.95340936,-3.164119406
Alejandra Twopenny,37.90717849,-3.727666873
Alejandrina Mordie,37.88741452,-2.880445504
Alejoa Bhatia,37.83947652,-3.604352787
Alejoa Thurling,38.00181903,-2.711667091
Aleksandr Holhouse,37.78695,-3.77522
Aleksandr Vaux,37.85509252,-2.854651562
Alena Meaddowcroft,37.74089184,-3.300600164
Alena Woller,37.94432361,-3.216337979
Alene Inder,38.14898577,-3.909194991
Alessandra Crassweller,37.98767004,-3.067835638
Alessandro Seiter,38.08081849,-3.040337656
Alessandro Wem,37.82271855,-2.747282447
Aleta Cullnean,37.76613191,-3.669841997
Aleta Grigg,37.96035142,-2.765231994
Aleta Matkin,37.73533129,-3.349068472
Aleta Renhard,37.72844511,-3.022812108
Alex Dalziel,37.86728636,-2.824357166
Alex Prayer,37.8055329,-3.287441054
Alexander Barensen,38.12152771,-3.725224258
Alexander Saffen,37.90958089,-3.611761049
Alexandr Mountfort,37.75084994,-3.451556553
Alexandr Whapple,37.86121943,-3.325129207
Alexandre Pople,37.91827077,-2.851544242
Alexandrina Falks,37.74561058,-3.445570276
Alexandros De Giorgio,37.99502723,-3.90297286
Alexei Arpur,37.7805574,-2.893218966
Alexi Hug,38.0131808,-3.939357632
Alexia Calabry,37.99147316,-2.930110347
Alexina Castiglio,37.78695,-3.77522
Alexina Huebner,37.84998383,-3.502872146
Alexis Benns,38.08204603,-3.364590107
Alexis Riggoll,38.05294577,-2.715543606
Alf Reubbens,37.87645582,-3.760917929
Alf Sherlock,38.13686904,-2.652096227
Alfi Farlowe,37.72171642,-3.838522198
Alfonse Bulley,37.73442841,-3.444241114
Alfonse Fiennes,38.14149706,-3.809356629
Alfonso Bachshell,38.05558852,-3.440768328
Alfonso Twidle,37.74949435,-3.48801068
Alfonso Vigietti,37.90683945,-3.37769238
Alford Lasham,37.89546376,-3.081100071
Alford Scrigmour,37.92256916,-3.286207381
Alfred Whatford,38.10318937,-3.373343045
Alfreda Iaduccelli,38.1292781,-2.846026113
Alfreda Regglar,38.12294281,-3.083111887
Alfreda Seville,38.08733376,-3.712031412
Alfredo Doxsey,37.98848942,-3.043196865
Alfredo Ferrick,37.86246805,-2.658446938
Alfy Scatchard,37.83224344,-2.853246405
Alfy Wasling,37.99226052,-3.831571491
Ali D'Alessandro,37.84551265,-2.841483052
Ali Everitt,37.98018759,-3.206300577
Ali Gaven,38.04676961,-3.726148572
Alia Feldfisher,38.03872083,-2.967120606
Alia Plowell,38.07623591,-3.339759271
Alia Stadding,38.11338865,-2.8458166
Alice Van Saltsberg,37.70750618,-3.122579483
Alicea Baseke,38.09478507,-3.881954091
Alicia Ondrasek,37.97782184,-2.955768193
Alick Morecombe,37.90040431,-3.774198809
Alida Bailles,37.75195218,-2.934526363
Alida Camacke,38.13371426,-3.384308087
Alida Judge,37.99164957,-2.807003287
Alida O'Lagene,37.94754795,-3.906440872
Alida Sturte,37.71178635,-3.341114594
Alidia Upton,37.80937035,-2.739056943
Alie Nielson,37.8184213,-3.054896748
Alie Whittenbury,37.72499895,-3.882589447
Alika Boddis,37.96268333,-2.750082882
Alika Fentem,38.12031019,-2.954875918
Alika Vegas,38.13899582,-3.041377457
Alikee McCourtie,38.08870978,-3.458544091
Alikee Silvermann,37.71679043,-3.61953163
Alina Halfacree,38.02083515,-3.542947996
Aline Wanjek,38.12410952,-2.733260072
Alisander Devany,37.90536218,-3.449163388
Alisha Dobbins,37.84429019,-3.297465551
Alison Hockey,38.09089181,-3.143043099
Alistair Whymark,38.0592934,-3.325878783
Alister Stanbrooke,37.76289969,-2.82457075
Alisun Haggus,37.77548919,-2.744826678
Alix Beardwood,37.90558315,-3.93556759
Alix Fawlkes,38.11527205,-3.161298281
Alix Hazeldene,38.14007155,-3.842346898
Aliza Bride,38.0231541,-3.404504369
Aliza Byfield,37.74046254,-3.156454722
Aliza Kubach,37.8600587,-2.682230771
Aliza Vain,37.9812322,-2.675777324
Alleen Grane,37.91309095,-3.826171459
Allegra Stobbes,37.79009,-3.77518
Alley Mennear,37.99455377,-3.824603651
Alli Burel,37.94662521,-3.379389139
Alli Flatt,37.78614334,-2.941810832
Alli Rozycki,37.89846479,-3.095560483
Alli Spruce,37.85190056,-3.54331956
Allianora Wistance,38.08431966,-3.621072031
Allie Castella,38.03021131,-3.769530522
Allin Donisthorpe,37.95140946,-2.687572243
Allis Kernock,37.85077297,-3.663701452
Allissa Buxton,38.07501864,-3.877956018
Allissa Cockarill,38.04210696,-3.887388625
Allissa Yokel,37.90320273,-3.922006454
Allix Dodworth,38.10208566,-3.737210668
Allix Learmonth,37.75677695,-3.371741923
Allsun Pepler,37.73005125,-3.463892831
Allx Bortolotti,38.00841537,-3.494134649
Allyce Sutworth,38.02134528,-3.140524442
Allyn Jaumet,38.02811744,-3.153818206
Allyn Stovine,37.91094801,-2.653016177
Allys Statton,38.04666175,-3.863603533
Allyson Aldwich,37.77628697,-3.293559645
Allyson McIlroy,38.06964778,-3.215331584
Allyson Youtead,38.12912248,-3.781729765
Alma Loudyan,37.9332518,-3.406696458
Almeda Espin,37.98971236,-3.036242637
Almeda Lympany,38.09535456,-3.581182952
Almeda Riddiough,38.05133123,-3.04965467
Almeria Bartholomieu,37.7375338,-3.28128852
Almeta Beagley,38.07588673,-3.753039573
Almeta Ingerfield,38.05774604,-3.668054223
Almire Laughrey,37.99736682,-3.718131153
Almire Vowdon,37.89490372,-3.33242244
Aloise Durno,37.83185098,-3.455285111
Aloise O'Murtagh,38.01983684,-3.805686903
Alon Jemison,38.01398269,-3.337904052
Alon McKie,37.82830814,-3.05322278
Alonso Linn,37.95300195,-3.73840325
Alonso Pfertner,38.1400876,-3.601777733
Aloysia Agett,38.00953318,-3.894662093
Aloysia Buston,37.82350498,-3.715547914
Aloysia Parkeson,37.81615056,-3.323694348
Aloysius Faley,37.82203209,-3.500405245
Aloysius Kupec,37.73385971,-3.25039819
Alphard Ickov,38.07076022,-2.681355261
Alphonso Budgey,37.97645989,-2.82935603
Alphonso Warman,37.84831231,-3.78400209
Alric Hurrell,38.0741394,-3.027175411
Alva Meric,37.75414467,-3.211840852
Alvan Brookshaw,37.89286708,-2.895471239
Alvan Collyns,38.12196009,-3.742045835
Alvera Bleasby,37.76508209,-3.509522054
Alvera Dietz,38.08496509,-3.885522322
Alvera Fransseni,37.7878663,-3.453013223
Alvera Mantione,37.9472044,-3.581559256
Alvera Pedroli,37.80342783,-3.696869743
Alverta Davie,37.79072818,-2.704089548
Alverta Dewett,38.12873117,-2.934535882
Alverta Dunstone,37.77825002,-2.879681393
Alverta Simpkiss,38.11681114,-2.879362777
Alvie Caberas,37.8700805,-3.236255094
Alvina Heasly,37.89334535,-2.80500825
Alvina Scoyne,38.14712086,-2.970442503
Alvinia Andrejs,38.04837494,-3.863887153
Alvira Halwell,37.93968034,-3.127982988
Alvira Haly,38.08871571,-2.825827372
Alvira Rosser,37.80707184,-2.863788806
Alvis Hoyte,37.7872835,-2.678204588
Alvis Stainton - Skinn,38.09719929,-3.690908562
Alwin Berrill,38.08827755,-2.653418527
Alwin Lardez,37.83608519,-3.492191392
Alwin Newe,37.71809009,-3.009215204
Alwyn Caplis,37.79810682,-3.655380784
Alwyn Hayhoe,37.89823122,-3.542898659
Alyce Baistow,37.88813182,-3.273808848
Alyda Gherardesci,37.92438538,-3.676802545
Alys Czajkowski,37.94872178,-2.960561061
Alys MacDaid,37.87874808,-2.837003588
Alys Oke,37.9297752,-3.534335944
Alys Tidgewell,37.78765996,-3.032406623
Alysa Gathercoal,38.09331854,-3.236279057
Alysa Leadbeater,37.76057558,-3.635045226
Alysa McCaughey,37.79491928,-3.443197954
Alyse Kibard,37.92763021,-3.507007115
Alyse Pearcy,37.7365927,-3.714035238
Alysia Goroni,37.79184592,-3.347591559
Alysia Lange,37.91868832,-3.187585905
Alyss Dressel,37.90441905,-3.471387562
Alyssa Fookes,37.72706908,-3.567510664
Amabel Casari,37.82086038,-3.917408753
Amabel Mouan,38.12976533,-3.421120503
Amabelle Chooter,37.90140504,-3.883322007
Amalea Arnholdt,38.0192603,-2.702949908
Amalee Fulmen,38.08882451,-3.915025689
Amaleta Heskin,37.75322613,-3.919230907
Amalia Bittlestone,37.93001023,-3.095328606
Amalia Hillum,37.94257364,-3.758750381
Amalie Traynor,38.04619673,-3.29571794
Amalita Dominick,37.8138785,-3.108460686
Amalita Girardi,38.11245347,-2.803098996
Amalle Roback,37.75747169,-3.473006803
Amalle Seemmonds,37.75077713,-3.377512851
Amanda Siman,38.12944314,-3.828611736
Amandi Schruurs,37.8615335,-3.27483755
Amandy Biddle,37.7795405,-3.635860663
Amandy Scorah,37.91427553,-3.862655005
Amara Fullick,37.86065063,-2.749818579
Amargo Greber,37.71736015,-2.806747342
Amargo Upston,37.91086285,-3.345305788
Amata Eck,38.10777733,-3.507359284
Amber Bessett,37.96864773,-3.477046047
Amber Deane,38.13421232,-3.919558695
Amber Scimoni,37.92859436,-3.650240074
Amber Whiteson,37.83653099,-2.86320235
Amberly Pyke,37.94228877,-3.716672303
Ambros Cornels,38.12836739,-3.46069942
Ambros Danson,37.77936235,-2.939169633
Ambros Mithun,37.99025925,-2.927724908
Ambrose Hyman,37.85820133,-3.087680128
Ambrose Striker,37.97742562,-3.87066311
Ambrosi Besse,38.11174991,-3.571861578
Ambrosi Dalling,38.0869668,-3.304346658
Ambrosi O'Cullinane,37.85199764,-2.941804217
Ambrosio Fain,38.09303914,-3.841563244
Ambrosio Swaffield,38.00584274,-3.506059616
Ambrosius Aizikovich,37.80318092,-3.586405317
Ambrosius Itzhayek,37.795449,-3.482308176
Ambur Alker,37.77091577,-3.719249296
Ambur Fossey,38.08159712,-3.595141619
Amby Goody,37.92078053,-2.758435338
Amby Kermode,38.09741982,-3.04841363
Ame Dellit,37.76833339,-3.946836706
Ame Dodgson,38.06922785,-3.564347323
Ame Triggle,38.11295258,-2.724170673
Amelia Nock,38.08245668,-2.657556766
Amelie Comberbeach,37.78416811,-3.084400477
Amelina Howatt,37.74516363,-3.795986533
Amelina Maccree,37.82994762,-3.894053094
Amelina Marikhin,38.08337331,-3.869562123
Amelina Strafford,37.80712704,-2.874155368
Ameline Bacchus,37.84565409,-3.338131592
Ameline Rustedge,38.09221322,-3.747998016
Amelita Bonnick,37.71441782,-3.128379372
Amelita Enevold,37.75621202,-3.563865793
Amerigo Baudains,38.11016659,-2.800471154
Amerigo Grinnell,37.78745695,-3.778084198
Amery Garard,38.12422778,-3.126936701
Amery MacAnellye,37.84233907,-2.971091482
Amity Sobczak,37.83143506,-2.674033327
Amity Writtle,37.70276784,-2.939049536
Ammamaria Crampsy,37.71933623,-3.358640391
Ammamaria Ivannikov,37.77661,-3.78156
Ammamaria Londing,37.89883694,-3.768393842
Ammamaria Richter,38.02815666,-3.387375514
Amory Measures,37.91413556,-3.447030384
Amos Kirtley,38.06707941,-3.353176641
Amy Bradick,37.73491223,-3.172311548
Amy Tarquinio,38.02764134,-3.272455989
Amye Letts,37.89876678,-2.843768771
Anabel Ackenson,38.00445698,-3.875523154
Anabel Jeskins,38.0192801,-3.76796222
Anabella Clewer,38.04446799,-2.91811944
Analise Alstead,37.91465268,-3.320816336
Analise Callf,38.03001095,-2.818500151
Anallise Yakobowitz,37.95485609,-3.114508835
Anastasia Genge,37.83656356,-3.288489149
Anastasie Gleeton,37.73723147,-3.079177403
Anastasie Mundle,37.91616078,-2.678222358
Anastassia Arnholtz,37.86601127,-3.100257812
Anastassia Bette,37.70516819,-3.035536789
Anastassia Kelling,37.76082636,-3.480692088
Anastassia Seabright,37.70555184,-2.96723513
Anatol Mealiffe,37.75797206,-2.872367113
Anatola Beldum,37.81261263,-3.553924984
Anatola Luter,37.79321,-3.78004
Anatola Philipson,37.79742765,-2.716116706
Ancell Duval,38.10091649,-2.773631055
Ancell Fleming,37.87438821,-3.084180542
Ancell Shrimpton,37.94162219,-3.657627009
Andee Antognetti,37.70226306,-3.847990096
Andeee Crockett,38.0286229,-3.382142077
Andeee Frickey,37.85232042,-3.925650887
Anderea Pretorius,37.90254691,-2.765060468
Anderson Pergens,37.7159566,-3.214460864
Andi Bagguley,37.83282924,-3.622877256
Andie Duckwith,37.95470233,-3.293165475
Andie Gaylord,38.0719487,-2.730954431
Andonis Hayller,37.8582019,-3.837911679
Andras Reyna,38.00587892,-2.944088503
Andrea Ambrozewicz,37.98744162,-3.303686845
Andrea Episcopio,37.98525645,-3.551773723
Andrea Grombridge,38.00592009,-3.740098473
Andrea Skerme,38.11792061,-3.892630004
Andreas Baggalley,37.95863937,-3.005974246
Andreas Brinkler,37.76221691,-3.000958491
Andreas Tongue,38.04670874,-2.927928968
Andree Gladhill,37.98970182,-3.566368242
Andrei Dmiterko,37.91954562,-3.625252581
Andrei Tym,37.92710261,-2.717374653
Andrej Carrane,37.98575846,-3.038012983
Andrej Seaking,37.92572481,-3.313533202
Andres Pengelly,38.08184791,-3.463559508
Andres Poulett,37.99196098,-3.795273909
Andrew Childe,37.88272437,-3.83410558
Andrey Novak,37.8793118,-2.957940741
Andria Riddett,38.1359193,-2.910354421
Andriana Woolland,37.86749182,-3.255637041
Andriette Gatus,37.7809005,-3.626151825
Andris Domini,37.87751637,-3.928708328
Andromache Parley,37.9628327,-3.4928218
Andros Warin,38.10824987,-2.741622561
Andy Bass,38.02568826,-3.821386093
Andy Greatbank,37.96518816,-3.918782278
Andy Learman,37.83250724,-2.826198493
Anestassia Ianitti,37.80243838,-3.209157819
Anett Aylmore,37.80328417,-2.77676478
Anett Greenhough,38.08801967,-3.032217975
Anetta Facchini,37.7135648,-3.557296405
Ange Bradbury,37.71216073,-3.592351397
Ange Chark,37.80214023,-3.299781057
Ange Grumble,37.8943376,-2.771418615
Angel Bachnic,37.73664071,-3.086376139
Angel Costall,37.72491272,-3.406420759
Angel Glasscoo,37.81073134,-3.400548626
Angel Thynn,37.88090146,-2.76636076
Angela Cortin,37.78735905,-3.740354178
Angeli Gaynes,38.07862941,-2.960172188
Angelica Beardall,37.92174484,-2.769908829
Angelika Ayshford,38.06336582,-3.010675861
Angelika Dance,38.11747264,-3.561901597
Angelika Gherardi,37.99909625,-3.773635678
Angelina Hardin,37.92973218,-2.65053601
Angelina Pues,38.0346151,-3.626366493
Angeline Chaplyn,37.99104716,-3.222653734
Angeline McShirrie,37.82742111,-3.044267635
Angeline Negri,37.93339167,-3.047000965
Angelique Bradburn,38.0528464,-3.172003811
Angelique Grinishin,38.07761098,-2.964702181
Angelo Boyall,37.7099564,-3.438250935
Angie Cattini,37.9452024,-3.334669362
Angie Pearmain,38.07499277,-3.886310162
Angus Trathen,38.10049112,-3.602382778
Angy McKnockiter,37.75780715,-3.303601172
Ania Hardiker,38.05451231,-3.761932399
Anica Beranek,37.87107234,-3.298268104
Anica De Benedictis,38.06279432,-3.662961829
Anica Waren,38.015223,-3.834969111
Anita Leband,37.7662539,-2.830764356
Anita Leslie,37.9630202,-2.778608164
Anita Storrar,37.76860543,-3.787057226
Anitra Bouch,37.91204629,-3.613079257
Anitra Jesson,37.78272,-3.80888
Anitra Siflet,37.70233532,-3.060005552
Anjanette Leere,38.12447147,-3.512863631
Anjela Loton,38.06785261,-2.893978394
Ann Hatton,37.77082985,-3.06388769
Anna Greson,37.75705691,-3.201237782
Anna Limmer,38.09681454,-2.952207973
Anna-diana Foulsham,37.87311876,-3.886176076
Anna-diane Reinbech,37.82007673,-2.801544274
Anna-maria Kleinstub,37.99031321,-3.071494287
Annabal Alekseicik,38.03372182,-2.693269174
Annabela Bridgestock,37.82132628,-3.107476963
Annabella Phettis,37.91747272,-3.906411653
Annabella Soldan,37.85603251,-3.175181013
Annabella Stubley,37.88273493,-3.294517991
Annabelle Hutton,38.07661808,-3.807531866
Annabelle Lashbrook,38.00561593,-3.544720321
Annadiane Stickel,38.14691538,-2.781286964
Annaliese Riddell,38.14335071,-2.910974704
Annamaria Banat,38.13912851,-3.38504691
Annamaria Grzegorzewicz,38.09956893,-2.816304009
Anne Cushion,37.8012318,-3.584434325
Annelise Sinton,37.78526049,-3.4462622
Annemarie Bernardelli,37.75730811,-2.665573552
Annemarie Eccleston,37.96073339,-3.87791778
Annemarie Wigan,37.71668198,-3.321993253
Annetta Milksop,38.13915915,-3.032196149
Annette Firebrace,37.99235866,-3.383759087
Annette Kiezler,37.83946963,-3.775993975
Annette Mantz,37.77767389,-3.723545415
Anni Donoghue,37.96554714,-3.643276353
Annice Antonelli,38.12941947,-3.66735828
Annice Burrage,38.11629377,-3.169050646
Annice Mc Dermid,37.85265035,-3.247556025
Annice Winchurst,37.77058673,-3.300655839
Annissa Stanett,37.89065987,-3.8459629
Annissa Willimont,37.86162605,-2.826688236
Annmaria Faichney,37.89882147,-3.387109328
Annmaria Wilsher,37.7335356,-3.838614858
Annmarie Bulfoot,37.78787392,-3.289247062
Ansel Ellaway,37.78180209,-3.57796181
Ansell O'Lennachain,38.00235103,-3.700425879
Anselm Archanbault,38.08783883,-3.216308109
Anselma Padfield,37.98875581,-3.517822312
Anson Bleyman,37.80322891,-3.028647832
Anstice Dowden,37.75151295,-3.308835418
Anstice Occleshaw,37.97179262,-3.102641279
Anstice Revel,37.95244932,-3.610093821
Anstice Tellenbrook,37.86266393,-2.679283865
Anthe Punch,37.77661,-3.78156
Anthe Sailor,37.7426575,-3.334136604
Anthiathia Bysouth,37.97432257,-3.246065647
Anthony Michal,38.02096602,-3.020807536
Antin Blackhall,37.94768435,-3.194170265
Antin Iorio,37.75026507,-3.443545711
Antoinette Groucutt,37.99599642,-3.079901418
Antoinette Rex,37.78971626,-3.564163347
Antonetta Rohlfing,37.92844602,-3.47377237
Antoni Malby,38.02562099,-3.904054681
Antonia Mailes,37.81993067,-3.633553616
Antonie Beincken,37.70579354,-3.909501343
Antonietta Bonifazio,37.85585182,-3.554730797
Antonietta Celloni,37.85271477,-3.267707384
Antonietta Guerri,37.91075944,-3.280674711
Antonin Tizard,38.04506102,-3.285657555
Antonina Tonna,37.77545826,-3.486768079
Antonina Twinning,37.92585415,-2.80199856
Antonino MacCart,38.05037641,-3.022484631
Antonius Mathou,37.72457428,-3.89272337
Antony Huxster,37.95300562,-3.298347783
Antony Parkes,37.72861984,-3.916389865
Any Hallagan,37.87891624,-3.530874168
Any Weston,37.75785593,-2.960151641
Anya Spurgin,37.82718175,-3.939271592
Appolonia Abrey,37.75923256,-3.817228811
Appolonia Deeny,38.13562266,-2.915398432
Appolonia Swetland,37.92070928,-2.849994882
Appolonia Trousdell,38.10564007,-2.955393037
April Hankard,37.87956473,-3.495601927
